_explain,d7766176-aec6-49df-9107-4ac68d90dcf5,perceived_accuracy-6,understanding-5,accuracy_standard-6,frustration-3,trust-6,recommend-6,fdbk_importance-7,learn-6,perf-6
empty,ff1f2c37-4c70-44d1-9d5f-9783c621a823,perceived_accuracy-6,understanding-7,accuracy_standard-6,frustration-2,trust-6,recommend-7,fdbk_importance-7,learn-4,perf-5
_feature_explain,7659d34c-1745-40ba-976c-5d9fad561ec9,perceived_accuracy-6,understanding-6,accuracy_standard-6,frustration-2,trust-5,recommend-6,fdbk_importance-6,learn-6,perf-5
_feature_explain,1714d209-87b3-4059-9e52-281f78b0a0b6,perceived_accuracy-6,understanding-3,accuracy_standard-7,frustration-2,trust-2,recommend-2,fdbk_importance-7,learn-5,perf-5
_instance_explain,8e708f0b-3f5d-4848-bc4b-8af12a83d3fe,perceived_accuracy-6,understanding-3,accuracy_standard-7,frustration-3,trust-5,recommend-5,fdbk_importance-7,learn-3,perf-5
_explain,b87a746a-bdf7-4f45-a1e1-e8aaa8d26610,perceived_accuracy-5,understanding-1,accuracy_standard-2,frustration-6,trust-2,recommend-2,fdbk_importance-7,learn-2,perf-4
empty,c0287bdd-64e5-4a30-9f23-d106bd55640b,perceived_accuracy-6,understanding-6,accuracy_standard-4,frustration-2,trust-6,recommend-4,fdbk_importance-7,learn-2,perf-4
_instance,51c89cd5-769c-467e-9cb1-1f28d90d20cc,perceived_accuracy-5,understanding-5,accuracy_standard-6,frustration-2,trust-5,recommend-7,fdbk_importance-7,learn-5,perf-6
_feature_explain,a5107696-8c3b-44e2-87ce-1e2c1bcffb34,perceived_accuracy-4,understanding-3,accuracy_standard-2,frustration-6,trust-2,recommend-2,fdbk_importance-6,learn-2,perf-2
_instance_explain,7029ca43-bc8b-4b11-8415-91315eb472d0,perceived_accuracy-5,understanding-1,accuracy_standard-3,frustration-6,trust-3,recommend-2,fdbk_importance-6,learn-4,perf-4
_feature_explain,21252cc1-ffad-441a-845e-682fc4f4a1fd,perceived_accuracy-5,understanding-6,accuracy_standard-5,frustration-3,trust-5,recommend-6,fdbk_importance-7,learn-5,perf-5
